#{"t_start": 1788614154.3581483, "env_id": "None"}
r,l,t
-77.515716,96,3.548494
-103.782331,96,4.991544
-134.481682,96,6.478597
-45.056645,96,7.943983
-50.517343,96,9.430853
-43.538975,96,10.980826
-35.747072,96,12.690639
-44.268247,96,14.393698
-72.765998,96,15.84086
-39.057761,96,17.284951
-33.716592,96,18.734565
-31.566755,96,20.162616
-45.816752,96,21.61658
-45.987431,96,23.05417
-43.999053,96,24.50441
-40.734813,96,25.94259
-41.213275,96,27.36196
-37.754902,96,28.799706
-32.959633,96,30.296738
-29.729313,96,31.760189
-36.543811,96,33.183529
-51.824216,96,34.659629
-32.738367,96,36.083347
-30.04207,96,37.549751
-29.017601,96,39.001217
-32.260723,96,40.437737
-26.572986,96,41.873906
-44.460859,96,43.32466
-37.458391,96,44.773034
-23.05335,96,46.23064
-31.484403,96,47.665129
-30.473296,96,49.109704
-23.184425,96,50.568271
-24.112749,96,52.019831
-25.929195,96,53.44601
-36.145526,96,54.884983
-23.30321,96,56.324257
-26.924774,96,57.780988
-27.243767,96,59.282113
-26.596765,96,60.72366
-29.239017,96,62.194167
-32.691999,96,63.62666
-29.581519,96,65.09884
-28.048311,96,66.518848
-27.544132,96,67.981781
-31.676807,96,69.422686
-24.299562,96,70.856201
-22.834607,96,72.297557
-24.664369,96,73.751765
-27.734858,96,75.211282
-20.421432,96,76.662151
-23.790052,96,78.117039
-22.559396,96,79.702884
-21.595524,96,81.378909
-28.563769,96,82.927259
-21.145987,96,84.464032
-25.523009,96,86.017595
-19.331179,96,87.542065
-21.062933,96,89.239824
-18.357456,96,90.705129
-22.137465,96,92.183443
-15.398081,96,93.640652
-14.178451,96,95.098055
-17.529521,96,96.538523
-20.534828,96,97.990023
-13.120597,96,99.459735
-16.489613,96,101.127762
-23.629926,96,102.729484
-16.030841,96,104.204548
-11.210163,96,105.708731
-10.382428,96,107.528879
-16.750433,96,109.099472
-20.02898,96,110.726877
-14.494768,96,112.414065
-21.513821,96,113.898773
-20.158022,96,115.532559
-15.35946,96,117.136222
-9.01756,96,118.803176
-18.666862,96,120.479386
-11.660405,96,122.077951
-20.385004,96,123.759466
-10.891909,96,125.365112
-15.324246,96,126.85443
-17.161325,96,128.405705
-8.978143,96,129.866169
-8.918678,96,131.330835
-11.937671,96,132.801841
-5.340193,96,134.275687
-10.92194,96,135.744328
-10.954377,96,137.204604
-17.096949,96,138.675871
-12.086244,96,140.155375
-14.605205,96,141.637394
-11.080365,96,143.090292
-9.068161,96,144.555377
-8.145501,96,146.015983
-2.903325,96,147.487883
-7.863924,96,148.949419
-9.808608,96,150.45346
-7.06258,96,151.98742
-7.183664,96,153.459163
-2.711698,96,154.926195
2.404285,96,156.357048
-5.737093,96,157.834189
-10.59275,96,159.308869
-2.876308,96,160.768177
-11.416498,96,162.259439
2.470933,96,163.768221
-7.466278,96,165.26133
3.177128,96,166.714975
-0.848141,96,168.200879
3.766986,96,169.662257
-7.784742,96,171.174437
2.962365,96,172.71181
0.010127,96,174.214691
-0.27727,96,175.667975
-1.923535,96,177.148421
0.807945,96,178.655456
5.134759,96,180.191226
0.507122,96,181.655361
-0.334061,96,183.129067
4.394909,96,184.5937
8.452412,96,186.035974
1.494574,96,187.546975
-0.287979,96,189.027125
-1.956208,96,190.488365
3.847929,96,191.983938
5.844102,96,193.484268
-3.970401,96,194.954971
6.027259,96,196.406447
11.002224,96,197.875486
10.84856,96,199.362857
-4.540045,96,200.82144
-1.404208,96,202.289769
4.155495,96,203.756842
9.490963,96,205.207907
-4.027182,96,206.663391
3.291597,96,208.163142
6.114619,96,209.624365
-0.556197,96,211.106845
-0.114808,96,212.557431
4.55571,96,214.021173
5.36951,96,215.50962
-3.572696,96,216.98017
4.334645,96,218.428529
13.231454,96,219.8755
15.691182,96,221.359322
8.339915,96,222.846487
4.245643,96,224.392525
11.829918,96,225.86742
10.368282,96,227.334526
3.856943,96,228.81815
1.291809,96,230.28642
5.605143,96,231.78301
11.017762,96,233.302496
5.027852,96,234.76408
12.641777,96,236.419616
9.224736,96,238.027385
8.988604,96,239.593433
8.600307,96,241.112823
9.65929,96,242.709518
15.275638,96,244.211697
9.135886,96,245.84182
11.990904,96,247.43065
11.237871,96,249.06849
13.278651,96,250.730086
5.886308,96,252.198439
13.702259,96,253.737439
5.190253,96,255.240739
8.884905,96,256.726525
14.214135,96,258.20807
6.431471,96,259.681085
5.871452,96,261.18758
12.079075,96,262.690417
2.981464,96,264.243303
8.737881,96,265.996538
1.590846,96,267.781376
2.977603,96,269.243649
5.541004,96,270.722552
4.867379,96,272.199097
10.440949,96,273.769998
8.900262,96,275.429594
6.953027,96,277.010134
14.170557,96,278.674595
13.348022,96,280.250788
4.899755,96,281.734975
3.88429,96,283.230475
4.735192,96,284.762385
4.243802,96,286.236584
8.684827,96,287.716452
5.316772,96,289.21013
13.742023,96,290.669591
15.4714,96,292.149408
3.761982,96,293.641478
10.067737,96,295.08277
9.69593,96,296.552438
5.841371,96,298.035916
4.422247,96,299.514425
4.55936,96,301.068121
7.740007,96,302.541757
6.120802,96,304.003566
8.749115,96,305.470439
10.466161,96,306.939647
8.87731,96,308.394523
9.204446,96,309.871861
4.981288,96,311.338404
7.241232,96,312.817574
9.065359,96,314.249244
