#{"t_start": 1788729025.326933, "env_id": "None"}
r,l,t
-113.290514,96,0.045933
-120.325363,96,1.187605
-53.431328,96,2.349715
-35.876202,96,3.742776
-49.436341,96,4.869449
-23.197479,96,6.041529
-31.195848,96,7.400669
-37.248202,96,8.554695
-49.130186,96,9.842602
-45.460005,96,11.036851
-36.698739,96,12.195831
-42.127544,96,13.331775
-48.191638,96,14.444888
-33.224916,96,15.598147
-49.123216,96,16.754159
-39.179196,96,17.943188
-38.891262,96,19.119569
-40.309407,96,20.278816
-54.107869,96,21.645824
-32.978489,96,22.783921
-41.223796,96,23.930162
-27.3453,96,25.080233
-25.481469,96,26.233477
-42.297694,96,27.554929
-41.571574,96,28.729795
-24.411196,96,29.899341
-34.248449,96,31.115776
-35.190953,96,32.446324
-40.303978,96,33.77026
-22.339172,96,35.049021
-28.305828,96,36.317355
-34.963266,96,37.582272
-30.587103,96,39.02239
-27.391847,96,40.384193
-22.437888,96,41.632755
-27.441657,96,42.864524
-31.276973,96,44.085839
-31.799525,96,45.392981
-28.762335,96,46.570517
-30.120448,96,47.754798
-27.898907,96,48.90247
-23.621963,96,50.256582
-17.7868,96,51.486913
-29.523428,96,52.794082
-22.174551,96,54.045525
-26.092368,96,55.442134
-25.26258,96,56.670343
-20.729936,96,57.959473
-19.268857,96,59.699937
-17.671053,96,60.893687
-24.645448,96,62.076903
-27.25208,96,63.237706
-20.138991,96,64.405807
-22.096353,96,65.551238
-23.998764,96,66.920152
-14.86587,96,68.10073
-13.197467,96,69.269981
-28.816134,96,70.443998
-17.551334,96,71.580987
-23.175677,96,72.758889
-18.272187,96,73.929345
-16.587237,96,75.096767
-17.531033,96,76.298961
-17.112804,96,77.49196
-18.266559,96,78.90795
-25.262665,96,80.094175
-13.135839,96,81.308161
-14.845093,96,82.493181
-16.250522,96,84.090678
-11.035851,96,85.248287
-16.705511,96,86.37641
-14.719411,96,87.507899
-15.926679,96,88.671301
-8.627428,96,89.879636
-13.620975,96,91.119697
-13.825387,96,92.318953
-19.354006,96,93.456501
-10.902319,96,94.647195
-9.56366,96,109.847469
-11.941592,96,134.671866
-6.05476,96,136.044231
-4.820226,96,137.377526
-3.621146,96,138.634649
-0.348503,96,139.87942
-7.350206,96,141.054061
-14.104786,96,142.205742
-9.656421,96,143.529267
-9.334479,96,144.731373
-15.167467,96,145.905501
-13.939063,96,147.127348
-9.533105,96,148.824815
-8.059506,96,149.989491
-9.563793,96,151.163371
-9.194853,96,152.311083
-17.548592,96,153.825427
-4.35963,96,155.059628
-1.77807,96,156.351071
-4.207947,96,157.585621
-0.8197,96,159.212466
-5.948939,96,160.476757
-1.060273,96,161.765565
-1.758135,96,163.151448
-1.952629,96,164.309093
-6.585115,96,165.446315
3.42622,96,166.573524
-6.632773,96,167.764458
-3.739697,96,168.992648
-10.88216,96,170.189054
-8.643022,96,171.39154
0.24073,96,172.838546
-4.574867,96,174.243339
4.453134,96,175.528996
-7.098568,96,176.686248
-4.591097,96,177.868052
3.775767,96,179.023725
-6.684424,96,180.177701
-8.616084,96,181.351968
-1.337304,96,182.552355
-10.321639,96,183.710293
2.044949,96,184.911476
3.589601,96,186.092744
-1.857574,96,187.328388
-1.511124,96,188.605915
6.941019,96,189.757708
5.408817,96,190.905755
5.655733,96,192.065926
1.662336,96,193.314949
