#{"t_start": 1788727982.4585605, "env_id": "None"}
r,l,t
11.694666,96,304.046776
15.207121,96,305.230362
10.551211,96,306.406784
11.640043,96,307.595819
14.842276,96,308.768752
2.192553,96,309.935898
8.632126,96,311.08871
18.186809,96,312.293413
16.124507,96,313.540005
9.154101,96,314.808165
16.373272,96,315.985236
9.171272,96,317.173665
15.997853,96,318.422381
7.684842,96,319.609731
9.007285,96,320.860657
5.88032,96,322.211962
10.380918,96,323.416419
14.342432,96,324.614971
14.445872,96,325.771145
2.477926,96,326.920236
12.713414,96,328.074714
18.308167,96,329.204762
15.709255,96,330.345716
14.930644,96,331.484591
10.964462,96,332.621996
6.729065,96,333.752043
8.745605,96,334.906857
18.134219,96,336.036719
10.030595,96,337.165491
13.632054,96,338.314097
15.643761,96,339.456342
10.590027,96,340.569099
13.060685,96,341.694976
8.616913,96,342.828599
6.478563,96,343.932421
7.860675,96,345.040711
7.99978,96,346.138701
10.820422,96,347.239816
12.281677,96,348.379047
12.735434,96,349.513277
16.113304,96,350.659976
8.940748,96,351.790541
6.204367,96,352.912408
11.703113,96,354.022791
9.792289,96,355.160813
13.390761,96,356.334032
9.913015,96,357.468952
13.683341,96,358.716556
11.422196,96,359.834849
7.641799,96,360.928689
7.761821,96,361.937309
9.513068,96,362.93779
17.539072,96,363.946692
10.185083,96,365.011332
12.91206,96,366.063762
17.089103,96,367.097253
7.615867,96,368.117497
15.901222,96,369.153451
10.78299,96,370.206663
14.375316,96,371.210249
8.032389,96,372.253858
10.093357,96,373.28617
16.003632,96,374.327394
11.156937,96,375.35566
8.003274,96,376.358372
14.170055,96,377.41577
13.491801,96,378.444227
8.642843,96,379.473049
11.477864,96,380.496757
15.372245,96,381.548643
15.163649,96,382.541717
17.632106,96,383.555993
8.473212,96,384.554127
11.598963,96,385.607475
16.522163,96,386.672447
13.447009,96,387.668202
13.424253,96,388.662699
10.843317,96,389.725307
13.167436,96,390.826062
3.099241,96,391.87386
-2.697592,96,392.976906
10.705802,96,394.048304
10.146106,96,395.129025
12.677065,96,396.190304
8.958724,96,397.203377
8.09522,96,398.226749
13.523039,96,399.248772
5.502777,96,400.328455
8.84613,96,401.356274
5.08757,96,402.352319
8.489731,96,403.394156
15.638359,96,404.515887
9.803206,96,405.542794
10.512855,96,406.579732
15.846256,96,407.606619
10.309162,96,408.614787
12.615441,96,409.604667
14.898812,96,410.612215
6.707662,96,411.596439
10.858928,96,412.603045
6.329388,96,413.577709
10.593239,96,414.577188
12.77269,96,415.572768
9.835705,96,416.620356
10.41303,96,417.664426
16.222758,96,418.67586
11.270259,96,419.707325
9.832994,96,420.704259
16.395947,96,421.741585
12.33352,96,422.764892
13.98393,96,423.872705
10.119032,96,424.915601
-1.978558,96,425.90655
11.7112,96,426.873564
13.489639,96,427.842522
16.176067,96,428.824075
12.936621,96,429.839544
10.67716,96,430.858069
10.872297,96,431.871149
8.700443,96,432.857061
9.553949,96,433.828036
16.764107,96,434.80304
15.46274,96,435.905047
13.591669,96,436.950553
10.218178,96,438.018372
9.340419,96,439.019556
10.792269,96,440.036552
13.704518,96,441.060341
9.879673,96,442.16265
12.612545,96,443.212161
8.346059,96,444.303246
11.715095,96,445.402204
10.763669,96,446.582289
11.078473,96,447.639042
13.7058,96,448.701128
9.214868,96,449.832873
11.485257,96,450.932902
11.168686,96,452.046789
13.680633,96,453.298735
10.656429,96,454.52182
10.525747,96,455.77546
10.985694,96,456.975326
10.097143,96,458.220074
15.71527,96,459.495886
11.890779,96,460.715859
10.01023,96,461.92677
9.53688,96,463.11358
8.679367,96,464.286358
16.692772,96,465.444242
14.13345,96,466.616425
16.048984,96,467.779321
13.974235,96,468.953125
12.478505,96,470.105162
10.236863,96,471.244757
10.34279,96,472.422773
12.325386,96,473.589596
9.50837,96,474.789686
8.822343,96,475.922536
6.931101,96,477.067345
11.710146,96,478.265018
9.37885,96,479.507915
14.294654,96,480.740196
13.543008,96,481.937451
10.752107,96,483.121336
8.502905,96,484.314116
12.953909,96,485.477773
14.533898,96,486.622255
11.372082,96,487.795276
7.140559,96,488.984698
12.784664,96,490.192966
10.584876,96,491.360622
17.090243,96,492.525724
9.636885,96,493.699482
11.279829,96,494.900972
8.75344,96,496.107491
12.575977,96,497.329556
8.716765,96,498.591043
10.27904,96,499.838115
11.556303,96,501.078841
15.107781,96,502.259589
12.451874,96,503.468954
16.864032,96,504.692226
9.625857,96,505.874914
9.006558,96,507.182942
8.435059,96,508.443545
17.600036,96,509.767185
7.089132,96,511.055326
8.044389,96,512.32898
8.037773,96,513.598432
12.972989,96,514.935349
10.735076,96,516.17705
9.048993,96,517.220737
8.690739,96,518.3513
10.199078,96,519.432995
13.725625,96,520.518496
13.649246,96,521.577114
9.290179,96,522.629666
10.999905,96,523.668719
10.894698,96,524.719902
12.482137,96,525.757576
16.927382,96,526.91101
10.098971,96,528.062809
16.53626,96,529.228176
10.929503,96,530.397223
12.623913,96,531.517668
11.161647,96,532.681426
9.907498,96,533.842179
7.440235,96,535.018202
9.598298,96,536.185224
7.333392,96,537.337207
8.434798,96,538.578174
8.482554,96,539.849717
12.735644,96,541.164164
15.832142,96,542.533322
16.174496,96,543.953559
15.793769,96,545.37973
14.300016,96,546.796882
5.696557,96,548.1849
16.081485,96,549.53626
12.92635,96,550.755391
15.057561,96,551.753721
13.347191,96,552.714795
15.98835,96,553.686794
10.321371,96,554.714535
10.374391,96,555.717193
16.381635,96,556.684848
10.501125,96,557.666559
8.501877,96,558.642806
9.315937,96,559.617395
13.091185,96,560.617031
14.534417,96,561.612866
8.524333,96,562.615734
14.502741,96,563.583264
14.970902,96,564.609215
14.540327,96,565.584128
13.827818,96,566.56072
15.263304,96,567.545188
9.312724,96,568.55565
3.144241,96,569.550876
14.691399,96,570.516874
10.717672,96,571.504875
11.891828,96,572.517924
10.282806,96,573.521411
14.779605,96,574.504245
13.992378,96,575.479255
12.125568,96,576.439085
9.104141,96,577.423372
18.402395,96,578.402712
11.771532,96,579.356184
13.87466,96,580.330746
12.531563,96,581.298206
14.534104,96,582.317833
17.855187,96,583.388147
13.832824,96,584.508
11.89445,96,585.587837
13.748989,96,586.661717
12.820347,96,587.719538
13.192226,96,588.779239
11.821022,96,590.122301
10.41627,96,591.456771
9.680067,96,592.613838
5.220106,96,593.665545
11.113474,96,594.683792
11.322771,96,595.705256
10.681761,96,596.72374
9.609083,96,597.744956
10.423309,96,598.757732
15.910068,96,599.830742
14.150701,96,601.004002
12.284431,96,602.031876
13.538784,96,603.026403
8.560965,96,604.011059
14.99762,96,605.056941
12.731729,96,606.046392
10.191492,96,607.049538
15.149172,96,608.03144
16.458158,96,609.04574
11.393442,96,610.027646
16.39826,96,611.000025
12.369504,96,611.987588
13.572345,96,612.97783
10.994372,96,613.961639
11.59788,96,614.951815
13.411545,96,615.961143
13.01613,96,617.023932
12.783777,96,618.041997
15.050595,96,619.056399
12.999834,96,620.138545
13.584991,96,621.224422
12.104845,96,622.318886
16.513724,96,623.480611
