#{"t_start": 1788728950.8747554, "env_id": "None"}
r,l,t
-67.595586,96,0.087099
-72.149851,96,0.156968
-71.868039,96,0.279295
-41.971488,96,0.345906
-56.124912,96,0.415186
-35.827859,96,0.537608
-60.43086,96,0.607371
-38.195018,96,0.675402
-99.683807,96,0.793734
-91.608646,96,0.862578
-47.664483,96,0.981682
-50.006438,96,1.047332
-45.131061,96,1.115583
-37.309165,96,1.237185
-62.016239,96,1.303169
-65.686305,96,1.370413
-65.67824,96,1.491789
-42.690396,96,1.571443
-84.759459,96,1.69379
-41.014048,96,1.761373
-71.498799,96,1.832805
-54.887181,96,1.961856
-33.561195,96,2.032644
-59.010836,96,2.105363
-76.603712,96,2.243906
-32.829921,96,2.318049
-54.827833,96,2.441073
-65.438712,96,2.507342
-106.702648,96,2.578205
-45.6942,96,2.697908
-66.729574,96,2.766099
-57.036662,96,2.836621
-52.351773,96,2.965312
-45.285133,96,3.033468
-49.548979,96,3.162691
-53.770476,96,3.228697
-46.918764,96,3.299496
-58.836529,96,3.433701
-37.397206,96,3.512267
-41.500546,96,3.584472
-83.667824,96,3.707678
-44.718988,96,3.780736
-44.181413,96,3.906072
-46.930011,96,3.980998
-47.058628,96,4.05773
-40.036623,96,4.189929
-53.560915,96,4.264999
-40.292747,96,4.338787
-52.898255,96,4.46899
-40.458933,96,4.53992
-62.085599,96,4.662083
-46.515855,96,4.731605
-43.206417,96,4.802664
-75.88342,96,4.924651
-51.803357,96,4.992745
-35.320348,96,5.067762
-55.083041,96,5.197369
-62.164957,96,5.271834
-51.619541,96,5.396281
-76.505235,96,5.465543
-57.624296,96,5.535273
-42.967197,96,5.661093
-46.231712,96,5.731682
-79.350317,96,5.801488
-44.425399,96,5.925678
-53.649146,96,5.994534
-39.493357,96,6.119537
-61.142432,96,6.192539
-44.15565,96,6.262386
-33.448859,96,6.381831
-46.1221,96,6.452276
-41.243352,96,6.518518
-57.339746,96,6.637304
-37.04692,96,6.708644
-57.811839,96,6.826613
-42.858437,96,6.895687
-52.221376,96,6.964469
-45.300441,96,7.082994
-44.989883,96,7.16142
-42.66415,96,7.231482
-46.349807,96,7.354104
-45.887806,96,7.422292
-51.932988,96,7.536426
-37.97448,96,7.603486
-53.447042,96,7.671609
-57.927225,96,7.786618
-56.608553,96,7.855409
-46.316926,96,7.922008
-55.566133,96,8.034619
-48.205032,96,8.103581
-84.140549,96,8.220136
-42.325107,96,8.28503
-64.024057,96,8.353709
-47.402459,96,8.465603
-61.612238,96,8.530877
-47.670022,96,8.598638
-46.49625,96,8.710879
-44.551728,96,8.778889
-42.094738,96,8.899392
-46.320063,96,8.967178
-37.195456,96,9.034328
-44.970345,96,9.155998
-36.887,96,9.223984
-52.001181,96,9.294975
-42.311294,96,9.413551
-46.596461,96,9.4842
-46.953651,96,9.597397
-54.990119,96,9.668894
-76.217728,96,9.738569
-45.382914,96,9.851231
-52.953727,96,9.920759
-57.435677,96,9.990675
-31.794485,96,10.104499
-39.070623,96,10.189178
-71.47252,96,10.306831
-47.376874,96,10.374361
-68.058685,96,10.441879
-66.201086,96,10.555359
-57.332469,96,10.621589
-47.463775,96,10.704911
-41.410731,96,10.816783
-69.334424,96,10.884672
-35.465528,96,10.993497
-73.94193,96,11.063469
-42.96255,96,11.138342
-55.899129,96,11.267188
-50.581476,96,11.33392
-52.559932,96,11.401888
-49.149011,96,11.51693
-39.688058,96,11.588834
-58.63446,96,11.70464
-44.126607,96,11.772126
-53.744079,96,11.83939
-48.843062,96,11.953428
-50.802754,96,12.01987
-46.290802,96,12.086765
-39.071385,96,12.204786
-64.149784,96,12.282672
-47.472093,96,12.392648
-41.276556,96,12.460957
-48.773528,96,12.528757
-44.084944,96,12.63998
-51.113385,96,12.707109
-39.65296,96,12.773838
-43.004959,96,12.886492
-48.132932,96,12.952349
-52.797414,96,13.064228
-46.84783,96,13.133296
-35.644702,96,13.215859
-38.984179,96,13.328572
-40.400234,96,13.394081
-33.905661,96,13.462052
-34.700691,96,13.572221
-36.703669,96,13.636813
-44.222145,96,13.750351
-33.892564,96,13.819676
-40.425129,96,13.889306
-42.315728,96,13.997597
-46.348769,96,14.065028
-28.380459,96,14.133665
-32.90557,96,14.250901
-44.50047,96,14.324547
-41.08073,96,14.445933
-31.512852,96,14.516852
-40.080044,96,14.585421
-38.461419,96,14.695783
-43.454074,96,14.764249
-29.188627,96,14.833357
-31.615793,96,14.950825
-29.292323,96,15.020315
-29.972272,96,15.13809
-34.376929,96,15.21113
-37.215796,96,15.276942
-37.822791,96,15.388744
-38.66435,96,15.456458
-43.306902,96,15.523416
-50.938984,96,15.633355
-42.84847,96,15.700483
-30.306452,96,15.813359
-44.953404,96,15.882668
-33.164708,96,15.949759
-38.242093,96,16.065795
-40.84499,96,16.134248
-38.971159,96,16.209744
-31.609206,96,16.318589
-38.089009,96,16.387172
-33.435799,96,16.500534
-51.164424,96,16.577354
-35.119359,96,16.646559
-35.458199,96,16.759642
-35.531304,96,16.833257
-42.506082,96,16.899234
-42.748828,96,17.013185
-32.997018,96,17.082969
-37.843174,96,17.202926
-39.436083,96,17.268214
-36.833081,96,17.336073
-35.012955,96,17.448773
-40.395868,96,17.515709
-38.214065,96,17.582585
-30.918105,96,17.692971
-34.661275,96,17.763134
-38.013827,96,17.873763
-36.413865,96,17.94034
-34.775761,96,18.00763
-46.058731,96,18.119558
-39.637023,96,18.205198
-50.108211,96,18.289666
-39.66091,96,18.406315
-35.8657,96,18.475274
-34.997568,96,18.58663
-27.115511,96,18.6519
-35.162991,96,18.721997
-41.270241,96,18.837027
-31.319347,96,18.904142
-37.706682,96,18.97221
-36.033891,96,19.086655
-31.419466,96,19.158207
-34.000905,96,19.270425
-45.854864,96,19.353534
-32.094521,96,19.42882
-29.90242,96,19.545473
-33.358771,96,19.613677
-35.460802,96,19.680535
-50.933311,96,19.794074
-40.884889,96,19.864201
-38.351599,96,20.015136
-29.117528,96,20.081219
-30.946207,96,20.150659
-32.666233,96,20.269516
-35.657892,96,20.340808
-34.993643,96,20.410049
-33.033253,96,20.525737
-31.204828,96,20.59682
-36.213011,96,20.714357
-34.474774,96,20.78171
-32.831199,96,20.856843
-39.073138,96,20.982948
-36.452904,96,21.05495
-32.411156,96,21.121405
-61.990833,96,21.248306
-28.030971,96,21.32044
-44.53795,96,21.459063
-31.215935,96,21.525411
-26.454041,96,21.596225
-42.619239,96,21.727194
-25.263985,96,21.802442
-27.240245,96,21.87146
-35.656226,96,21.986075
-33.824911,96,22.05831
-26.992637,96,22.178374
-51.424151,96,22.256307
-25.013361,96,22.327108
-37.071829,96,22.447977
-32.567639,96,22.522935
-34.737999,96,22.592644
-42.116841,96,22.707975
-34.835704,96,22.77833
-26.403185,96,22.905995
-24.177982,96,22.973753
-23.604873,96,23.046284
-33.322744,96,23.166401
-42.667248,96,23.23719
-53.505498,96,23.30413
-30.25088,96,23.420863
-27.460079,96,23.492494
-32.432767,96,23.610242
-34.970355,96,23.678535
-30.796726,96,23.747104
-29.133327,96,23.869965
-25.368436,96,23.947775
-28.126802,96,24.029062
-28.173334,96,24.143118
-30.35413,96,24.215804
-23.619208,96,24.328513
-35.530422,96,24.397056
-58.976932,96,24.465497
-36.526963,96,24.580296
-27.640006,96,24.647593
-41.888845,96,24.718751
-36.840448,96,24.830511
-39.043726,96,24.899478
-31.335305,96,25.013436
-19.675516,96,25.079986
-24.476645,96,25.146667
-32.395606,96,25.26771
-32.653701,96,25.334979
-29.227041,96,25.400187
-32.317795,96,25.511535
-36.473417,96,25.580959
-36.09038,96,25.691656
-26.673776,96,25.758266
-35.669641,96,25.826057
-36.755267,96,25.938042
-30.509172,96,26.007093
-38.048372,96,26.073743
-30.570924,96,26.192476
-26.041222,96,26.261609
-43.01439,96,26.376427
-30.958372,96,26.442716
-32.17665,96,26.511074
-36.275518,96,26.622798
-28.808052,96,26.691495
-36.095653,96,26.756268
-29.089621,96,26.870425
-31.314821,96,26.938411
-37.431233,96,27.054446
-30.607179,96,27.125327
-23.880548,96,27.199082
-36.226356,96,27.328279
-35.516706,96,27.396531
-23.279478,96,27.464998
-30.145633,96,27.579485
-20.019598,96,27.648257
-40.044251,96,27.763615
-28.350496,96,27.837656
-36.415946,96,27.907124
-31.844566,96,28.022608
-32.895506,96,28.089065
-29.017237,96,28.167398
-26.663589,96,28.285059
-31.031105,96,28.356302
-29.798461,96,28.478411
-28.939955,96,28.546818
-35.069973,96,28.614642
-28.13027,96,28.726368
-21.960586,96,28.800308
-28.471247,96,28.866988
-33.141977,96,28.978287
-35.312386,96,29.048906
-31.614091,96,29.181738
