#{"t_start": 1788624353.1507077, "env_id": "None"}
r,l,t
-32.599348,96,66.773956
-34.825614,96,67.018958
-27.478012,96,67.33917
-34.762833,96,67.642031
-28.014092,96,67.89603
-31.904093,96,68.236148
-35.532513,96,68.455238
-38.924428,96,68.73599
-48.299246,96,68.941271
-25.786556,96,69.159807
-34.364818,96,69.448807
-26.376482,96,69.685144
-32.500908,96,69.920156
-38.117865,96,70.248898
-30.225415,96,70.511898
-37.941323,96,70.863936
-38.993728,96,71.130903
-28.87948,96,71.396175
-34.285899,96,71.763871
-34.748008,96,72.01087
-34.322311,96,72.302916
-44.583154,96,72.647931
-33.566587,96,72.899931
-36.271948,96,73.261792
-32.107091,96,73.513142
-36.736449,96,73.765797
-37.108994,96,74.097798
-31.24501,96,74.336023
-41.54585,96,74.603021
-35.58918,96,74.933995
-54.908535,96,75.184117
-27.29157,96,75.560166
-32.851774,96,75.804966
-29.446728,96,76.044968
-28.171777,96,76.3841
-36.360314,96,76.64212
-29.785299,96,76.909093
-36.035149,96,77.251239
-33.190388,96,77.497994
-25.469998,96,77.843995
-29.937995,96,78.109059
-42.300197,96,78.373132
-27.43985,96,78.71301
-39.569681,96,78.957011
-33.605287,96,79.200005
-34.899289,96,79.544919
-24.918322,96,79.80302
-36.26021,96,80.145561
-33.557155,96,80.386133
-35.6437,96,80.633211
-30.402747,96,80.972147
-29.313098,96,81.21322
-33.113522,96,81.457252
-30.663897,96,81.795771
-30.420594,96,82.035869
-33.13964,96,82.376977
-33.378966,96,82.617982
-27.085297,96,82.859755
-22.479581,96,83.206933
-41.924646,96,83.447233
-32.463772,96,83.692237
-35.501057,96,84.02795
-31.091678,96,84.270124
-27.81008,96,84.602975
-24.268067,96,84.848077
-31.788807,96,85.089077
-43.401129,96,85.426757
-29.331472,96,85.671376
-32.981349,96,85.910003
-31.684532,96,86.242876
-29.216651,96,86.494007
-32.606068,96,86.914082
-31.791415,96,87.107081
-34.566812,96,87.303017
-32.450783,96,87.604973
-40.383139,96,87.81496
-33.485961,96,88.041096
-32.482168,96,88.3223
-25.745519,96,88.517028
-40.219125,96,88.829026
-42.344855,96,89.047083
-36.29839,96,89.281278
-31.660961,96,89.614546
-31.401479,96,89.846067
-30.690068,96,90.077071
-33.307647,96,90.425149
-26.905257,96,90.693148
-34.215473,96,91.058195
-33.009413,96,91.401335
-26.960741,96,91.697988
-29.706358,96,92.047987
-29.8724,96,92.300157
-25.787975,96,92.536999
-26.035412,96,92.882
-37.651501,96,93.194354
-31.856961,96,93.49096
-31.349728,96,93.735129
-28.510092,96,93.991815
-32.47682,96,94.328108
-27.80131,96,94.560108
-29.234658,96,94.799234
-24.750725,96,95.226863
-30.130021,96,95.453862
-46.28699,96,95.774944
