#{"t_start": 1788718807.8578823, "env_id": "None"}
r,l,t
-90.763052,96,0.097212
-41.681699,96,0.172451
-29.629391,96,0.454635
-58.010119,96,0.530004
-53.879516,96,0.598866
-55.472463,96,0.725447
-66.82994,96,0.796201
-60.111977,96,0.86718
-42.013032,96,0.989391
-98.273238,96,1.069759
-70.108887,96,1.214318
-104.696965,96,1.299946
-51.552367,96,1.392542
-43.736906,96,1.58583
-69.266507,96,1.663424
-102.770933,96,1.73309
-112.367007,96,1.875116
-92.043181,96,1.949933
-37.456235,96,2.078284
-73.993711,96,2.148693
-30.904007,96,2.222095
-73.93622,96,2.36902
-57.634594,96,2.443871
-51.528712,96,2.516066
-44.455334,96,2.640125
-68.706033,96,2.710192
-55.42424,96,2.83328
-51.426061,96,2.903247
-105.843791,96,2.9789
-77.591276,96,3.109644
-34.929456,96,3.178969
-61.27474,96,3.285963
-66.627971,96,3.415233
-75.706103,96,3.486561
-43.844054,96,3.612021
-36.737679,96,3.681306
-50.868021,96,3.75538
-56.164891,96,3.879983
-45.847647,96,3.951175
-57.530524,96,4.019152
-39.63148,96,4.146676
-45.391253,96,4.219157
-32.871504,96,4.34858
-42.521134,96,4.416292
-40.800086,96,4.487072
-73.350456,96,4.609961
-35.996529,96,4.681017
-85.470967,96,4.751048
-51.889478,96,4.870159
-36.04075,96,4.941182
-69.431518,96,5.068767
-34.947909,96,5.136029
-62.296736,96,5.211456
-53.250106,96,5.348644
-54.744879,96,5.421041
-36.321009,96,5.49105
-47.035158,96,5.616109
-54.316633,96,5.687532
-41.530485,96,5.810136
-41.503246,96,5.881263
-35.050459,96,5.949466
-46.976877,96,6.071746
-46.028908,96,6.142802
-54.934964,96,6.218821
-45.93181,96,6.349386
-33.848692,96,6.419743
-51.452206,96,6.546975
-49.428089,96,6.61893
-35.529754,96,6.689958
-51.894593,96,6.811417
-37.679146,96,6.892758
-35.02226,96,6.966175
-34.351786,96,7.090529
-39.932521,96,7.163265
-42.604346,96,7.301786
-43.095373,96,7.378712
-45.00963,96,7.448473
-35.475506,96,7.569417
-35.60395,96,7.637139
-38.555375,96,7.706968
-42.742498,96,7.827832
-46.604363,96,7.896905
-42.26009,96,8.015949
-38.545967,96,8.084553
-32.759917,96,8.155377
-47.015692,96,8.304404
-37.831591,96,8.381495
-43.89049,96,8.449743
-35.613683,96,8.568796
-37.298851,96,8.638939
-42.052917,96,8.756749
-43.412982,96,8.823195
-38.905372,96,8.894898
-38.741303,96,9.014781
-35.046147,96,9.088035
-37.475066,96,9.155722
-39.30196,96,9.30275
-39.536287,96,9.391969
-35.142769,96,9.541476
-33.895894,96,9.629119
-33.200149,96,9.719252
-41.267705,96,9.85298
-29.599056,96,9.924058
-43.626426,96,9.993321
-36.333169,96,10.114218
-29.585473,96,10.187308
-32.310082,96,10.332861
-36.676344,96,10.402306
-38.514777,96,10.47417
-37.141038,96,10.597294
-34.672878,96,10.669554
-42.357921,96,10.736847
-36.91683,96,10.862868
-37.839325,96,10.934307
-38.318077,96,11.055613
