#{"t_start": 1788730125.4646451, "env_id": "None"}
r,l,t
-85.075011,96,0.061291
-228.617398,96,1.259381
-71.134423,96,2.457182
-144.928686,96,3.714175
-56.940141,96,4.974048
-32.332605,96,6.257441
-73.010659,96,7.457474
-33.613889,96,8.589368
-29.43673,96,9.72798
-50.943538,96,10.865685
-33.381443,96,11.992197
-28.180061,96,13.096902
-43.817358,96,14.210658
-38.584078,96,15.307035
-31.648461,96,16.406834
-34.601,96,17.524214
-41.730711,96,18.673016
-30.247336,96,19.800584
-31.277325,96,20.910709
-38.215577,96,22.04483
-42.725051,96,23.217438
-34.140527,96,24.393649
-37.061205,96,25.536277
-35.591021,96,26.696941
-27.239434,96,27.861657
-48.650589,96,28.991938
-40.179497,96,30.127629
-45.190184,96,31.250934
-27.428612,96,32.408839
-27.7105,96,33.567369
-34.96779,96,34.751232
-25.760306,96,35.885754
-29.398498,96,37.00654
-25.993657,96,38.368097
-29.237827,96,39.52897
-33.141685,96,40.678095
-27.009328,96,41.87248
-27.581908,96,43.018214
-26.525842,96,44.132085
-22.686738,96,45.254315
-19.863484,96,46.381076
-24.615436,96,47.589961
-24.579044,96,48.766927
-27.264979,96,49.926272
-26.216849,96,51.067175
-27.791122,96,52.213977
-23.219086,96,53.305046
-23.68106,96,54.412632
-27.350682,96,55.568081
-28.612742,96,56.700992
-22.664764,96,57.831051
-20.552602,96,58.961791
-21.779725,96,60.104017
-25.506746,96,61.273877
-19.287315,96,62.395432
-15.723713,96,63.570235
-21.41649,96,64.872725
-32.242606,96,66.041494
-24.051275,96,67.200709
-17.584948,96,68.503858
-17.130451,96,69.658998
-20.833533,96,70.807395
-21.409416,96,72.014662
-18.684013,96,73.323299
-12.925416,96,74.526079
-18.631574,96,75.84163
-19.207247,96,77.348616
-13.907943,96,78.582265
-18.150629,96,79.81725
-13.118909,96,80.976203
-20.617974,96,82.122694
-11.596696,96,83.242765
-11.333427,96,84.344893
-11.607069,96,85.47461
-7.935166,96,86.606037
-13.291041,96,87.745693
-14.879425,96,88.900325
-12.995914,96,90.08697
-23.633638,96,91.254713
-16.175165,96,92.467055
-18.541114,96,93.726424
-17.127984,96,94.962913
-14.850936,96,96.117216
-16.559834,96,97.282305
-4.122671,96,98.430047
-7.712549,96,99.597037
-25.724834,96,100.779385
-9.156442,96,101.975796
-9.561964,96,103.146008
-6.872607,96,104.299949
-1.984326,96,105.438071
-8.099968,96,106.573471
-11.979754,96,107.70238
-12.457985,96,108.862051
-11.008387,96,109.987264
-5.891999,96,111.10188
-10.15694,96,112.223623
